session_id,test_type,created_at,stroke_count,total_points,stroke_duration_mean,stroke_duration_std,total_drawing_time,pressure_mean,pressure_std,pressure_min,pressure_max
session_000_selectionMemory,selectionMemory,1760871366971,14,339,1165.642857142857,453.6920930610566,16319,0.6550204725676056,0.2042529139761676,0.3026678253630477,1.0013228261743963
session_001_wordRecall,wordRecall,1760883044735,6,150,1365.6666666666667,296.10283498961786,8194,0.6350817728828779,0.2080610141062748,0.31179104912971023,0.9745816266012031
session_002_clockDrawing,clockDrawing,1760865436503,10,339,1277.0,381.3344988327177,12770,0.6695333192123294,0.1987991162019282,0.29675478236798164,1.008365947731127
session_003_wordRecall,wordRecall,1760892852970,5,192,1159.0,503.08766631671665,5795,0.6191015560014522,0.19656388639362343,0.28974026076206016,0.9995940851692978
session_004_selectionMemory,selectionMemory,1760903070442,15,475,1179.8666666666666,459.4274504448142,17698,0.646076948779216,0.2020638748932263,0.298617453925945,1.0061592252834948
session_005_clockDrawing,clockDrawing,1760839517182,14,414,1407.2142857142858,472.9932313879085,19701,0.6323961081535519,0.20495186842841598,0.30486578405513515,0.9980041616946503
session_006_imageAssociation,imageAssociation,1760855732371,7,225,1218.4285714285713,447.6050099115952,8529,0.6249791480432838,0.19491748131207695,0.29023710819605364,0.9925064329139326
session_007_selectionMemory,selectionMemory,1760877693948,14,505,1251.0,455.4081372006559,17514,0.6590863044877554,0.2042121263976571,0.28614938318405336,1.0096159253116197
session_008_clockDrawing,clockDrawing,1760893397818,9,300,1420.888888888889,381.85903287424577,12788,0.6493375699454024,0.20666571091403121,0.3003324228378125,1.0007280416225937
session_009_selectionMemory,selectionMemory,1760846633133,12,382,1306.3333333333333,341.5421724407625,15676,0.6628557855391349,0.19979275827590792,0.2813303366590877,1.0359127403369468
session_010_clockDrawing,clockDrawing,1760827565872,9,195,1418.6666666666667,447.54168024392493,12768,0.6358392252236306,0.19768697716473768,0.3102074610036919,1.0027878718676984
session_011_selectionMemory,selectionMemory,1760900930872,5,177,1261.2,455.9462248993844,6306,0.6265480211898272,0.1828229256557936,0.28993921116200494,0.994443153996182
session_012_selectionMemory,selectionMemory,1760890694154,6,191,942.1666666666666,374.81969739536845,5653,0.6277544050461498,0.20373104263080608,0.29474206395136915,1.0205118154263542
session_013_selectionMemory,selectionMemory,1760897964987,11,355,1107.909090909091,414.4423316711165,12187,0.6558286161537784,0.20240162349147625,0.2970604110701506,1.001806561641859
session_014_selectionMemory,selectionMemory,1760874735079,11,299,1345.4545454545455,396.75258231074935,14800,0.6604166863252015,0.19449807123152746,0.30546872439005607,1.0029853483833504
session_015_imageAssociation,imageAssociation,1760882290873,11,262,1218.6363636363637,508.42041886026726,13405,0.6538722962577245,0.19926308189703812,0.29195721200970914,1.003984988256141
session_016_wordRecall,wordRecall,1760858164106,11,371,1115.6363636363637,340.0329590247694,12272,0.6559806481671371,0.20629396633602437,0.2876453292928163,0.9956908584795551
session_017_clockDrawing,clockDrawing,1760869847538,13,408,1172.923076923077,357.81461928650697,15248,0.6438095338669612,0.2084363648689154,0.29765239283355643,1.0024171582330408
session_018_wordRecall,wordRecall,1760912118051,15,580,1211.2666666666667,461.2373888670441,18169,0.6551849578285162,0.20419109138425626,0.29567308080574783,1.005445630494355
session_019_selectionMemory,selectionMemory,1760884422608,9,301,1275.7777777777778,553.0018641274141,11482,0.6511662701387855,0.19417895283810316,0.28726697451780575,1.0146321950270032
session_020_wordRecall,wordRecall,1760871633438,15,490,1358.8666666666666,446.2129337236004,20383,0.6473787720559835,0.19813597192307625,0.29246890124154706,1.016956333651098
session_021_clockDrawing,clockDrawing,1760859964722,11,330,1082.090909090909,341.38846296356894,11903,0.6656379847108819,0.2025750185237187,0.28210795495341146,1.0042020262257831
session_022_imageAssociation,imageAssociation,1760831528504,8,297,1133.5,454.0966306855844,9068,0.6537198049558784,0.2064774960016659,0.2957875751052996,1.01932062891418
session_023_clockDrawing,clockDrawing,1760866490998,11,324,1239.1818181818182,387.34218327229576,13631,0.6594322203087079,0.20083363689834846,0.3004480986707245,1.0031521085003094
session_024_imageAssociation,imageAssociation,1760891715632,14,432,1508.5,394.78253507469145,21119,0.6406824034194114,0.20257439900361726,0.27538342083711576,1.0167914716574642
session_025_imageAssociation,imageAssociation,1760883279838,15,350,1346.5333333333333,409.1442885937538,20198,0.6567294333959021,0.20295363219427065,0.30073438025377075,0.9978479031139689
